Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14008_001
"060371951004","15000US060371951004","Block Group 4","Block Group 4, Census Tract 1951, Los Angeles County, California","ca","150","00","ACSSF","0015417",,,,,"06","037",,,,"195100","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212602.672292546
"060371952011","15000US060371952011","Block Group 1","Block Group 1, Census Tract 1952.01, Los Angeles County, California","ca","150","00","ACSSF","0015418",,,,,"06","037",,,,"195201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94698.6013986014
"060371952012","15000US060371952012","Block Group 2","Block Group 2, Census Tract 1952.01, Los Angeles County, California","ca","150","00","ACSSF","0015419",,,,,"06","037",,,,"195201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197058.283433134
"060371952021","15000US060371952021","Block Group 1","Block Group 1, Census Tract 1952.02, Los Angeles County, California","ca","150","00","ACSSF","0015420",,,,,"06","037",,,,"195202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234360.8
"060371952022","15000US060371952022","Block Group 2","Block Group 2, Census Tract 1952.02, Los Angeles County, California","ca","150","00","ACSSF","0015421",,,,,"06","037",,,,"195202","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161588.161209068
"060371952023","15000US060371952023","Block Group 3","Block Group 3, Census Tract 1952.02, Los Angeles County, California","ca","150","00","ACSSF","0015422",,,,,"06","037",,,,"195202","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179978.560250391
"060371953001","15000US060371953001","Block Group 1","Block Group 1, Census Tract 1953, Los Angeles County, California","ca","150","00","ACSSF","0015423",,,,,"06","037",,,,"195300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105085.202863962
"060371953002","15000US060371953002","Block Group 2","Block Group 2, Census Tract 1953, Los Angeles County, California","ca","150","00","ACSSF","0015424",,,,,"06","037",,,,"195300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177363.461538462
"060371953003","15000US060371953003","Block Group 3","Block Group 3, Census Tract 1953, Los Angeles County, California","ca","150","00","ACSSF","0015425",,,,,"06","037",,,,"195300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79476.2626262626
"060371954001","15000US060371954001","Block Group 1","Block Group 1, Census Tract 1954, Los Angeles County, California","ca","150","00","ACSSF","0015426",,,,,"06","037",,,,"195400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233367.915690867
"060371954002","15000US060371954002","Block Group 2","Block Group 2, Census Tract 1954, Los Angeles County, California","ca","150","00","ACSSF","0015427",,,,,"06","037",,,,"195400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94409.7201767305
